code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
8005525036451,Pepe nero,Fantasie Aromatiche,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8051763013099,Fantasia di verdure con mais,Italy-D,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0841905060214,Dark Fantasy Choco Meltz,Sunfeast,Unknown,united-states,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,40.0,16.0
8023788022196,Fantastic burger,Vegamo,"plant-based-foods-and-beverages, plant-based-foods",italy,Unknown,Unknown,Unknown,d,Unknown,Unknown,Unknown,Unknown,Unknown
07522727,Fanta,Unknown,Unknown,united-states,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,12.0,4.8
8005525037359,Cinnamon,Fantasie aromatiche,"plant-based-foods-and-beverages, plant-based-foods, condiments, spices, cinnamon",italy,Unknown,Unknown,Unknown,not-applicable,Unknown,Unknown,Unknown,Unknown,Unknown
8011407010587,Fantasie ai semi di lino,Ciro Amodio,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
38355349,Pirulo fantasmikos,Motta,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5449000256621,Fanta citron,Fanta,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas",romania,Unknown,Unknown,Unknown,b,Unknown,not-applicable,Unknown,0.1,9.0
5449000021076,Fanta Orange Zero,Fanta,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, sodas, fruit-sodas",romania,Unknown,Unknown,Unknown,b,Unknown,Unknown,Unknown,0.3,9.0
9310155002141,Noodles chicken,Fantastic,"plant-based-foods-and-beverages, plant-based-foods, dried-products, pastas, dried-products-to-be-rehydrated, noodles, instant-noodles",australia,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,0.8,94.4
0049000051049,16 Fl Oz,Fanta,Unknown,united-states,Unknown,Unknown,Unknown,unknown,Unknown,unknown,Unknown,81.0,300.0
9310645308234,Fantasy cupcjes,Coles,Unknown,australia,Unknown,Coles,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,426.0
8024336000147,Fantariso,Cereal terra,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8054242542196,Fantasia di mare,Eurofresh,Unknown,italy,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,Unknown,Unknown
0049000053746,orange fanta,Fanta,Unknown,united-states,Unknown,Unknown,Unknown,unknown,4.0,Unknown,"carbonated water, high fructose corn syrup, less than 2% of: citric acid natural flavors, sodium benzoate (to protect taste), modified food starch glycerol ester of rosin, yellow 6, red 40. caffeine free 100% natural flavors",Unknown,Unknown
